id,quality
1121,6
1122,6
1123,6
1124,6
1125,6
1126,6
1127,6
1128,4
1129,6
1130,6
1131,6
1132,6
1133,6
1134,6
1135,6
1136,6
1137,6
1138,6
1139,6
1140,6
1141,6
1142,6
1143,6
1144,6
1145,6
1146,6
1147,5
1148,6
1149,6
1150,6
1151,6
1152,6
1153,5
1154,6
1155,6
1156,5
1157,6
1158,6
1159,5
1160,5
1161,6
1162,6
1163,6
1164,5
1165,5
1166,5
1167,6
1168,6
1169,6
1170,6
1171,6
1172,6
1173,6
1174,6
1175,6
1176,6
1177,4
1178,6
1179,4
1180,6
1181,6
1182,6
1183,6
1184,6
1185,5
1186,6
1187,4
1188,6
1189,5
1190,6
1191,6
1192,6
1193,6
1194,6
1195,5
1196,6
1197,6
1198,5
1199,6
1200,6
1201,5
1202,6
1203,5
1204,5
1205,6
1206,6
1207,6
1208,5
1209,6
1210,6
1211,6
1212,6
1213,6
1214,6
1215,6
1216,6
1217,6
1218,6
1219,6
1220,6
1221,6
1222,6
1223,6
1224,6
1225,6
1226,6
1227,6
1228,6
1229,6
1230,6
1231,6
1232,4
1233,6
1234,6
1235,4
1236,6
1237,6
1238,4
1239,6
1240,6
1241,6
1242,6
1243,6
1244,6
1245,6
1246,6
1247,6
1248,6
1249,6
1250,6
1251,6
1252,6
1253,5
1254,6
1255,6
1256,6
1257,6
1258,6
1259,5
1260,5
1261,5
1262,4
1263,6
1264,4
1265,6
1266,6
1267,6
1268,5
1269,6
1270,6
1271,6
1272,6
1273,6
1274,6
1275,5
1276,5
1277,6
1278,6
1279,5
1280,6
1281,6
1282,6
1283,4
1284,5
1285,6
1286,6
1287,7
1288,6
1289,5
1290,5
1291,6
1292,5
1293,6
1294,4
1295,5
1296,6
1297,6
1298,5
1299,6
1300,6
1301,6
1302,6
1303,6
1304,6
1305,5
1306,5
1307,6
1308,5
1309,6
1310,5
1311,5
1312,5
1313,5
1314,6
1315,6
1316,5
1317,6
1318,6
1319,5
1320,5
1321,6
1322,6
1323,6
1324,6
1325,6
1326,6
1327,6
1328,6
1329,6
1330,5
1331,5
1332,5
1333,6
1334,5
1335,6
1336,6
1337,6
1338,6
1339,6
1340,6
1341,6
1342,6
1343,6
1344,6
1345,6
1346,5
1347,6
1348,6
1349,6
1350,6
1351,5
1352,6
1353,6
1354,6
1355,6
1356,6
1357,6
1358,6
1359,5
1360,6
1361,6
1362,5
1363,6
1364,5
1365,6
1366,5
1367,6
1368,6
1369,5
1370,6
1371,5
1372,5
1373,5
1374,5
1375,6
1376,6
1377,5
1378,6
1379,6
1380,6
1381,6
1382,5
1383,5
1384,5
1385,5
1386,5
1387,5
1388,5
1389,6
1390,6
1391,6
1392,5
1393,6
1394,6
1395,6
1396,5
1397,5
1398,6
1399,5
1400,6
1401,5
1402,5
1403,6
1404,6
1405,6
1406,6
1407,6
1408,6
1409,6
1410,6
1411,4
1412,6
1413,6
1414,6
1415,6
1416,6
1417,6
1418,6
1419,6
1420,5
1421,6
1422,6
1423,6
1424,5
1425,6
1426,6
1427,6
1428,6
1429,6
1430,6
1431,5
1432,5
1433,6
1434,6
1435,5
1436,5
1437,5
1438,5
1439,6
1440,6
1441,6
1442,5
1443,6
1444,5
1445,6
1446,5
1447,6
1448,6
1449,6
1450,6
1451,6
1452,6
1453,6
1454,6
1455,5
1456,4
1457,6
1458,6
1459,6
1460,6
1461,5
1462,4
1463,6
1464,6
1465,5
1466,5
1467,5
1468,5
1469,5
1470,5
1471,5
1472,5
1473,6
1474,6
1475,5
1476,6
1477,5
1478,6
1479,6
1480,6
1481,6
1482,6
1483,5
1484,6
1485,5
1486,6
1487,5
1488,5
1489,6
1490,6
1491,6
1492,6
1493,6
1494,6
1495,6
1496,6
1497,6
1498,4
1499,4
1500,4
1501,6
1502,5
1503,5
1504,6
1505,5
1506,4
1507,6
1508,5
1509,6
1510,6
1511,6
1512,5
1513,4
1514,6
1515,5
1516,5
1517,6
1518,5
1519,5
1520,6
1521,5
1522,6
1523,6
1524,6
1525,6
1526,5
1527,5
1528,6
1529,6
1530,5
1531,5
1532,5
1533,5
1534,6
1535,5
1536,6
1537,6
1538,5
1539,6
1540,6
1541,6
1542,6
1543,4
1544,5
1545,6
1546,5
1547,6
1548,5
1549,6
1550,6
1551,6
1552,6
1553,6
1554,6
1555,4
1556,5
1557,4
1558,4
1559,5
1560,5
1561,5
1562,5
1563,5
1564,5
1565,5
1566,6
1567,7
1568,5
1569,6
1570,6
1571,5
1572,6
1573,5
1574,5
1575,6
1576,5
1577,6
1578,6
1579,5
1580,5
1581,6
1582,5
1583,5
1584,6
1585,6
1586,6
1587,6
1588,5
1589,5
1590,5
1591,6
1592,5
1593,6
1594,5
1595,6
1596,5
1597,6
1598,5
1599,6
