id,quality
1121,6
1122,7
1123,7
1124,6
1125,7
1126,6
1127,6
1128,3
1129,6
1130,6
1131,7
1132,6
1133,6
1134,6
1135,6
1136,6
1137,6
1138,6
1139,6
1140,6
1141,6
1142,6
1143,6
1144,6
1145,6
1146,6
1147,6
1148,6
1149,6
1150,6
1151,6
1152,6
1153,6
1154,6
1155,7
1156,6
1157,6
1158,6
1159,6
1160,6
1161,6
1162,6
1163,6
1164,5
1165,5
1166,6
1167,6
1168,6
1169,6
1170,6
1171,6
1172,7
1173,6
1174,6
1175,6
1176,7
1177,3
1178,7
1179,3
1180,6
1181,6
1182,6
1183,6
1184,6
1185,6
1186,6
1187,3
1188,6
1189,6
1190,5
1191,6
1192,3
1193,6
1194,3
1195,6
1196,6
1197,6
1198,6
1199,6
1200,6
1201,6
1202,6
1203,6
1204,6
1205,6
1206,6
1207,6
1208,6
1209,6
1210,6
1211,7
1212,6
1213,7
1214,6
1215,6
1216,6
1217,6
1218,6
1219,6
1220,6
1221,6
1222,6
1223,6
1224,6
1225,6
1226,6
1227,6
1228,6
1229,7
1230,6
1231,6
1232,3
1233,6
1234,6
1235,3
1236,6
1237,7
1238,3
1239,7
1240,7
1241,6
1242,6
1243,6
1244,6
1245,6
1246,6
1247,6
1248,6
1249,6
1250,7
1251,7
1252,6
1253,7
1254,7
1255,6
1256,7
1257,6
1258,6
1259,7
1260,7
1261,6
1262,3
1263,6
1264,3
1265,6
1266,6
1267,6
1268,6
1269,6
1270,6
1271,7
1272,6
1273,7
1274,6
1275,6
1276,6
1277,6
1278,7
1279,6
1280,6
1281,6
1282,6
1283,3
1284,6
1285,6
1286,6
1287,7
1288,6
1289,6
1290,6
1291,3
1292,6
1293,6
1294,3
1295,6
1296,7
1297,7
1298,6
1299,7
1300,3
1301,7
1302,5
1303,6
1304,6
1305,5
1306,6
1307,6
1308,6
1309,6
1310,6
1311,6
1312,6
1313,5
1314,6
1315,6
1316,6
1317,3
1318,6
1319,6
1320,6
1321,6
1322,3
1323,6
1324,6
1325,6
1326,6
1327,6
1328,6
1329,6
1330,6
1331,6
1332,5
1333,6
1334,5
1335,3
1336,7
1337,7
1338,7
1339,7
1340,7
1341,7
1342,7
1343,7
1344,7
1345,6
1346,6
1347,7
1348,6
1349,6
1350,7
1351,6
1352,7
1353,6
1354,6
1355,6
1356,6
1357,6
1358,6
1359,6
1360,6
1361,6
1362,5
1363,6
1364,5
1365,7
1366,6
1367,6
1368,6
1369,5
1370,7
1371,6
1372,6
1373,6
1374,5
1375,3
1376,6
1377,5
1378,6
1379,6
1380,7
1381,7
1382,5
1383,6
1384,6
1385,5
1386,5
1387,6
1388,6
1389,6
1390,7
1391,7
1392,6
1393,6
1394,6
1395,6
1396,6
1397,6
1398,6
1399,6
1400,7
1401,6
1402,6
1403,6
1404,6
1405,6
1406,6
1407,6
1408,7
1409,6
1410,7
1411,3
1412,6
1413,6
1414,6
1415,6
1416,7
1417,6
1418,6
1419,7
1420,6
1421,7
1422,6
1423,7
1424,6
1425,6
1426,6
1427,6
1428,6
1429,7
1430,6
1431,6
1432,6
1433,7
1434,6
1435,6
1436,6
1437,6
1438,5
1439,7
1440,7
1441,6
1442,5
1443,7
1444,6
1445,7
1446,5
1447,7
1448,7
1449,7
1450,6
1451,6
1452,6
1453,7
1454,6
1455,6
1456,3
1457,6
1458,6
1459,6
1460,6
1461,6
1462,3
1463,6
1464,7
1465,6
1466,6
1467,6
1468,5
1469,6
1470,5
1471,6
1472,6
1473,6
1474,6
1475,6
1476,6
1477,6
1478,6
1479,5
1480,6
1481,6
1482,6
1483,6
1484,6
1485,5
1486,6
1487,6
1488,6
1489,6
1490,6
1491,6
1492,6
1493,6
1494,6
1495,6
1496,7
1497,6
1498,3
1499,5
1500,3
1501,6
1502,5
1503,6
1504,6
1505,6
1506,3
1507,5
1508,6
1509,6
1510,6
1511,6
1512,6
1513,5
1514,6
1515,5
1516,5
1517,6
1518,6
1519,6
1520,6
1521,6
1522,6
1523,6
1524,6
1525,6
1526,6
1527,6
1528,6
1529,6
1530,6
1531,6
1532,6
1533,6
1534,6
1535,6
1536,6
1537,6
1538,6
1539,6
1540,6
1541,6
1542,6
1543,3
1544,6
1545,6
1546,6
1547,7
1548,6
1549,6
1550,6
1551,7
1552,7
1553,7
1554,7
1555,3
1556,6
1557,5
1558,3
1559,6
1560,6
1561,6
1562,6
1563,6
1564,6
1565,6
1566,7
1567,7
1568,6
1569,6
1570,6
1571,6
1572,6
1573,6
1574,6
1575,6
1576,6
1577,6
1578,6
1579,6
1580,6
1581,6
1582,6
1583,6
1584,6
1585,6
1586,6
1587,6
1588,6
1589,6
1590,6
1591,6
1592,6
1593,6
1594,6
1595,6
1596,6
1597,6
1598,6
1599,6
